SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN,HIGH,LOW,LAST,CLOSE,VWAP,VOLUME,TURNOVER,TOTAL_TRADES,DELIVERABLE_QTY,DELIVERABLE_PCT
DEMOSTK,EQ,01-MAY-2026,1400.0,1399.3,1406.35,1397.94,1402.1,1402.1,1402.13,1923826,2697454149.38,18084,849219,44.14
DEMOSTK,EQ,04-MAY-2026,1402.1,1402.11,1405.03,1398.94,1403.84,1403.84,1402.6,946497,1327556692.2,22886,352738,37.27
DEMOSTK,EQ,05-MAY-2026,1403.84,1404.49,1409.31,1402.37,1407.69,1407.69,1406.46,2115822,2975819010.12,34103,1241833,58.69
DEMOSTK,EQ,06-MAY-2026,1407.69,1407.48,1417.17,1406.25,1411.29,1411.29,1411.57,1079287,1523489150.59,24489,490843,45.48
DEMOSTK,EQ,07-MAY-2026,1411.29,1411.43,1418.89,1407.02,1415.09,1415.09,1413.67,1016123,1436462601.41,34057,500746,49.28
DEMOSTK,EQ,08-MAY-2026,1415.09,1414.28,1421.09,1410.46,1416.53,1416.53,1416.03,2098157,2971053256.71,21748,994743,47.41
DEMOSTK,EQ,11-MAY-2026,1416.53,1417.08,1424.04,1411.46,1420.71,1420.71,1418.74,1558293,2210812610.82,24822,642182,41.21
DEMOSTK,EQ,12-MAY-2026,1420.71,1421.27,1424.9,1418.77,1423.49,1423.49,1422.39,1838334,2614827898.26,43676,801272,43.59
DEMOSTK,EQ,13-MAY-2026,1423.49,1423.71,1428.38,1420.15,1427.01,1427.01,1425.18,1145950,1633185021.0,39809,499077,43.55
DEMOSTK,EQ,14-MAY-2026,1427.01,1426.85,1437.89,1425.46,1432.08,1432.08,1431.81,1970369,2821194037.89,33776,1078330,54.73
DEMOSTK,EQ,15-MAY-2026,1432.08,1431.76,1439.28,1428.28,1436.53,1436.53,1434.7,2471203,3545434944.1,29948,907402,36.72
DEMOSTK,EQ,18-MAY-2026,1436.53,1436.07,1442.43,1434.75,1437.94,1437.94,1438.37,2333352,3356223516.24,37986,997278,42.74
DEMOSTK,EQ,19-MAY-2026,1437.94,1438.3,1445.34,1433.72,1442.11,1442.11,1440.39,2202266,3172121923.74,26370,783215,35.56
DEMOSTK,EQ,20-MAY-2026,1442.11,1441.45,1446.39,1440.16,1444.8,1444.8,1443.78,2411101,3481099401.78,24418,921848,38.23
DEMOSTK,EQ,21-MAY-2026,1444.8,1444.58,1452.43,1443.18,1447.07,1447.07,1447.56,1742014,2521669785.84,28161,848987,48.74
DEMOSTK,EQ,22-MAY-2026,1447.07,1447.71,1458.06,1445.32,1452.74,1452.74,1452.04,1670939,2426270265.56,26756,870025,52.07
DEMOSTK,EQ,25-MAY-2026,1452.74,1452.2,1456.63,1450.44,1455.22,1455.22,1454.1,2181009,3171405186.9,22645,769930,35.3
DEMOSTK,EQ,26-MAY-2026,1455.22,1454.58,1461.81,1452.85,1459.4,1459.4,1458.02,1921118,2801028466.36,27099,965271,50.25
DEMOSTK,EQ,27-MAY-2026,1459.4,1458.65,1466.72,1452.9,1461.42,1461.42,1460.35,2173564,3174164187.4,37157,1162739,53.49
DEMOSTK,EQ,28-MAY-2026,1461.42,1462.16,1471.25,1457.76,1465.49,1465.49,1464.83,1972877,2889929415.91,27857,886842,44.95
DEMOSTK,EQ,29-MAY-2026,1465.49,1465.45,1471.53,1463.5,1468.53,1468.53,1467.85,1237808,1816916472.8,29438,483457,39.06
DEMOSTK,EQ,01-JUN-2026,1468.53,1467.64,1471.5,1465.88,1470.5,1470.5,1469.29,1012786,1488076341.94,26914,509871,50.34
