INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,DEMOSTK,28-MAY-2026,1300,CE,107.77,110.83,106.9,108.55,108.55,2098,56.93,45050,-2086,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1300,PE,7.08,10.06,5.76,5.87,5.87,125,0.18,49043,3284,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1320,CE,91.94,94.6,89.14,93.18,93.18,485,11.3,44143,2080,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1320,PE,12.92,15.59,9.83,12.74,12.74,1310,4.17,46071,-1475,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1340,CE,81.45,84.58,79.33,82.08,82.08,2654,54.46,10156,1630,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1340,PE,22.04,24.55,20.07,20.11,20.11,2611,13.13,49554,-813,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1360,CE,51.7,55.48,50.56,53.48,53.48,2122,28.37,44944,-381,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1360,PE,15.42,15.56,14.09,14.65,14.65,1151,4.22,30217,-4941,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1380,CE,32.85,35.77,29.36,31.0,31.0,1051,8.15,3257,71,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1380,PE,6.66,8.94,6.41,7.93,7.93,1192,2.36,33949,-1708,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1400,CE,12.53,12.8,8.98,11.43,11.43,639,1.83,27182,4614,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1400,PE,2.63,5.45,1.93,4.54,4.54,2448,2.78,35680,-2457,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1420,CE,18.49,21.13,16.46,17.63,17.63,1385,6.1,48230,3096,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1420,PE,25.39,27.32,24.36,24.49,24.49,2978,18.23,34618,2032,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1440,CE,18.87,19.29,16.05,17.62,17.62,2115,9.32,38255,-4737,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1440,PE,57.7,60.38,55.31,57.36,57.36,2889,41.43,43132,-1233,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1460,CE,2.47,6.21,0.05,4.3,4.3,1592,1.71,30582,4150,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1460,PE,59.66,63.17,58.93,61.58,61.58,1130,17.4,1217,2486,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1480,CE,16.32,17.83,13.72,15.33,15.33,2750,10.54,35471,-3918,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1480,PE,92.29,94.82,89.75,92.39,92.39,1011,23.35,48797,-1638,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1500,CE,6.08,7.46,2.94,5.48,5.48,364,0.5,32392,-293,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1500,PE,111.48,113.41,110.78,111.01,111.01,653,18.12,22743,-840,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1520,CE,10.73,12.59,9.56,9.96,9.96,2025,5.04,4975,2959,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1520,PE,123.82,125.9,121.1,123.13,123.13,1241,38.2,47456,3462,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1540,CE,4.47,6.91,1.49,4.61,4.61,2299,2.65,14058,106,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1540,PE,151.53,151.58,148.4,149.78,149.78,2125,79.57,30455,-599,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1560,CE,6.33,9.12,4.44,4.66,4.66,419,0.49,10289,3586,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1560,PE,160.92,163.29,159.02,161.48,161.48,1195,48.24,8384,983,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1580,CE,4.19,5.65,2.53,2.6,2.6,64,0.04,33223,2385,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1580,PE,182.58,183.83,180.54,181.67,181.67,545,24.75,22713,-4972,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1600,CE,1.68,3.52,0.05,2.33,2.33,851,0.5,47728,-4808,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1600,PE,202.21,204.17,201.03,203.05,203.05,2463,125.03,6006,909,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1620,CE,6.07,8.63,4.21,5.05,5.05,261,0.33,44383,-321,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1620,PE,220.19,224.5,218.88,221.59,221.59,1342,74.34,13441,1116,01-MAY-2026
OPTSTK,DEMOSTK,28-MAY-2026,1640,CE,4.1,4.48,1.82,4.39,4.39,1688,1.85,37316,3998,01-MAY-2026
